Begriff;�bersetzung
Antoniterniederlassung;Antonines
Antoniterterminei;Antonines
Antoniterpräzeptorei;Antonines
Antoniter-Generalpräzeptorei;Antonines
Dominikanerinnenkloster;Dominican Nuns' monastery
Alexianerkloster;Alexian Brothers' monastery
Karmelitinnenkloster;Carmelite Nuns' monastery
Kapuzinessenkloster;Capuchin Nuns
Wilhelmitenkloster;Williamite monastery
Dominikaner-Terziarinnen;Tertiaries of St Domenicus
Sackbrüderhaus;Brothers of Penitence
Sackbrüderniederlassung;Brothers of Penitence
Sackbrüderkloster;Brothers of Penitence
Kloster der englischen Fräulein;Congregation of Jesus
Fraterherren;Community of religious brothers
Fraterhaus;Community of religious brothers
Kugelherrenstift;Community of religious brothers
Fraterherrenkloster;Community of religious brothers
Birgittenkloster;Bridgettine monastery
Birgittendoppelkloster;Bridgettine double monastery
Zisterzienser-Doppelkloster;Cistercian double monastery
Lazariterhof;Knights of St Lazarus
Lazariterkloster;Knights of St Lazarus
Lazariterhaus;Knights of St Lazarus
Lazaritenkommende;Knights of St Lazarus
Serviten;Servite friary
Trappistinnen;Trappistine monastery
Trappisten;Trappist monastery
Augustinerchorfrauenpriorat;Priory of the Augustinian Canonesses
Sepulchrinerinnenkloster;Canonesses regular of the Holy Sepulchre
Barmherzige Brüder;Brothers Hospitallers of St. John of God
Clemensschwestern;Sisters of Charity of Our Lady of Sorrows
Cölestinerkloster;Celestine monastery
Piaristenkolleg;Piarist college
Piaristenkloster;Piarists
Piaristenniederlassung;Piarists
Salesianerinnenkloster;Salesian sisters' convent
Hieronymitenkloster;Hieronymite monastery
Hieronymitenklösterl;Hieronymite monastery
Servitinnenkloster;Convent of the Servite nuns
Caulitenkloster;Caulite monastery
Paulanerinnenkloster;Minim nuns' convent
Theatinerstift;Theatines
Oratorianerkloster;Oratorian house
Paulanerkloster;Minim friary
Redemptoristenkloster;Redemptorist monastery
Doppelstift;Double Chapter
Colettinnenkloster;Caulites' monastery
Kamaldulenserkloster;Camaldolese monastery
Trinitarierkloster;Trinitarian friary
Trinitarierhospiz;Trinitarian hospital
Somaskerkloster;Somascan house
Humiliaten-Doppelkloster;Humiliati double monastery
Humiliatinnenkonvent;Convent of the Humiliati nuns
Humiliatenkonvent;Humiliati friary
Barnabitenstift;Barnabite priory
Maricolenkloster;Monastery of the Maricollen sisters
Kartäuserinnenkloster;Carthusian Nuns' monastery
